Symptoms,Disease,Description,Precautions,Medications,Workouts,Diets
persistent cough weight loss fever night sweats fatigue,Tuberculosis,A bacterial infection that mainly affects the lungs.,Get vaccinated. Avoid close contact with infected individuals.,Antibiotics like Isoniazid and Rifampin,"Breathing exercises, light walking","Protein-rich diet with vitamins A, C, and E"
headache dizziness blurred vision nausea chest pain,Hypertension,A condition in which the force of the blood against the artery walls is too high.,Reduce salt intake. Exercise regularly. Monitor blood pressure.,Antihypertensive drugs like beta-blockers and ACE inhibitors,"Walking, yoga, breathing exercises",Low-sodium diet with fruits and vegetables
increased thirst frequent urination extreme hunger fatigue blurred vision,Diabetes,A chronic condition that affects how your body turns food into energy.,Monitor blood sugar levels. Maintain a healthy diet. Exercise regularly.,"Insulin therapy, Metformin","Aerobic exercise, strength training",Low-carb diet with high fiber intake
headache dizziness blurred vision nausea chest pain,Hypertension,A condition in which the force of the blood against the artery walls is too high.,Reduce salt intake. Exercise regularly. Monitor blood pressure.,Antihypertensive drugs like beta-blockers and ACE inhibitors,"Walking, yoga, breathing exercises",Low-sodium diet with fruits and vegetables
increased thirst frequent urination extreme hunger fatigue blurred vision,Diabetes,A chronic condition that affects how your body turns food into energy.,Monitor blood sugar levels. Maintain a healthy diet. Exercise regularly.,"Insulin therapy, Metformin","Aerobic exercise, strength training",Low-carb diet with high fiber intake
headache dizziness blurred vision nausea chest pain,Hypertension,A condition in which the force of the blood against the artery walls is too high.,Reduce salt intake. Exercise regularly. Monitor blood pressure.,Antihypertensive drugs like beta-blockers and ACE inhibitors,"Walking, yoga, breathing exercises",Low-sodium diet with fruits and vegetables
increased thirst frequent urination extreme hunger fatigue blurred vision,Diabetes,A chronic condition that affects how your body turns food into energy.,Monitor blood sugar levels. Maintain a healthy diet. Exercise regularly.,"Insulin therapy, Metformin","Aerobic exercise, strength training",Low-carb diet with high fiber intake
increased thirst frequent urination extreme hunger fatigue blurred vision,Diabetes,A chronic condition that affects how your body turns food into energy.,Monitor blood sugar levels. Maintain a healthy diet. Exercise regularly.,"Insulin therapy, Metformin","Aerobic exercise, strength training",Low-carb diet with high fiber intake
increased thirst frequent urination extreme hunger fatigue blurred vision,Diabetes,A chronic condition that affects how your body turns food into energy.,Monitor blood sugar levels. Maintain a healthy diet. Exercise regularly.,"Insulin therapy, Metformin","Aerobic exercise, strength training",Low-carb diet with high fiber intake
severe headache nausea vomiting sensitivity to light and sound,Migraine,"A neurological condition that causes intense, debilitating headaches.",Avoid triggers. Maintain a sleep schedule. Stay hydrated.,"Pain relievers, Triptans, Beta-blockers","Light stretching, yoga",Magnesium-rich foods like spinach and nuts
